YEAR,PLAYER,TEAM,SALARY
2002,Vitaly Potapenko,Celtics,4762000
2002,Brent Barry,SuperSonics,4680000
2002,Michael Olowokandi,Clippers,4662000
2002,Scott Williams,Nuggets,4650000
2002,Calvin Booth,SuperSonics,4539000
2002,Joe Smith,Timberwolves,4538000
2002,Anthony Mason,Bucks,4538000
2002,Avery Johnson,Nuggets,4538000
2002,Brevin Knight,Grizzlies,4500000
2002,Ben Wallace,Pistons,4500000
2002,Eric Williams,Celtics,4448000
2002,Danny Fortson,Warriors,4441000
2002,Christian Laettner,Wizards,4421000
2002,Kurt Thomas,Knicks,4413000
2002,Jahidi White,Wizards,4413000
2002,Rashard Lewis,SuperSonics,4413000
2002,Cuttino Mobley,Rockets,4412000
2002,Brad Miller,Pacers,4400000
2002,Adonal Foyle,Warriors,4400000
2002,Scot Pollard,Kings,4344000
2002,Voshon Lenard,Nuggets,4252000
2002,Mike Bibby,Kings,4174000
2002,Shawn Bradley,Mavericks,4155000
2002,Darrell Armstrong,Magic,4130000
2002,Corliss Williamson,Pistons,4000000
2002,Aaron McKie,76ers,4000000
2002,Sam Cassell,Bucks,4000000
2002,Greg Anthony,Bucks,3940000
2002,Elton Brand,Clippers,3882000
2002,Mark Jackson,Knicks,3860000
2002,Michael Stewart,Raptors,3840000
2002,Kenyon Martin,Nets,3801000
2002,Rick Fox,Lakers,3791000
2002,Raef LaFrentz,Nuggets,3755000
2002,Lamond Murray,Cavaliers,3750000
2002,Eric Snow,76ers,3750000
2002,Kwame Brown,Wizards,3697000
2002,Brent Price,Kings,3680000
2002,Ervin Johnson,Bucks,3670000
2002,Jud Buechler,Suns,3666000
2002,Travis Knight,Knicks,3600000
2002,Tony Battie,Celtics,3600000
2002,Moochie Norris,Rockets,3600000
2002,Zeljko Rebraca,Pistons,3500000
2002,Steve Francis,Rockets,3473000
2002,Stromile Swift,Grizzlies,3401000
2002,Tracy Murray,Raptors,3400000
2002,Antawn Jamison,Warriors,3388000
2002,Tim Hardaway,Nuggets,3360000
2002,Chucky Atkins,Pistons,3300000
2002,Tyrone Nesby,Wizards,3260000
2002,Travis Best,Pacers,3250000
2002,Anthony Carter,Heat,3250000
2002,Marc Jackson,Timberwolves,3250000
2002,David Wesley,Hornets,3240000
2002,Dean Garrett,Timberwolves,3240000
2002,Jon Barry,Pistons,3175000
